NCBI_GID	ENSEMBL_GID	Assigned_Gene_symbol	Gene_symbol	Product
106563799	ENSSSAG00000005988	LOC106563799	LOC106563799	telomerase-binding protein EST1A-like
106563800	ENSSSAG00000006820	LOC106563800	LOC106563800	zinc-binding protein A33-like
106563801	ENSSSAG00000004602	coro6	coro6	coronin 6
106563802	NA	LOC106563802	LOC106563802	leukemia inhibitory factor receptor
106563803	ENSSSAG00000112905	rab34b	rab34b	RAB34, member RAS oncogene family b
106563805	NA	LOC106563805	LOC106563805	olfactory receptor 10G7-like
106563806	NA	LOC106563806	LOC106563806	olfactory receptor 10G4-like
106563807	NA	LOC106563807	LOC106563807	olfactory receptor 10A4-like
106563808	ENSSSAG00000006831	LOC106563808	LOC106563808	olfactory receptor 10A4-like
106563809	NA	LOC106563809	LOC106563809	claudin-4-like
106563811	ENSSSAG00000091632	LOC106563811	LOC106563811	claudin-4-like
106563812	ENSSSAG00000091243	LOC106563812	LOC106563812	claudin-4
106563813	NA	LOC106563813	LOC106563813	claudin-like protein ZF-A89
106563815	ENSSSAG00000068165	LOC106563815	LOC106563815	rapamycin-insensitive companion of mTOR-like
106563816	ENSSSAG00000006873	nf2b	nf2b	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor b
106563817	ENSSSAG00000119731	mettl27	mettl27	methyltransferase like 27
106563818	NA	LOC106563818	LOC106563818	claudin-4
106563822	ENSSSAG00000104028	LOC106563822	LOC106563822	mesenteric estrogen-dependent adipogenesis protein
106563823	ENSSSAG00000006978	LOC106563823	LOC106563823	SUMO-specific isopeptidase USPL1
106563824	ENSSSAG00000007005	katnal1	katnal1	katanin p60 subunit A-like 1
106563825	ENSSSAG00000007281	LOC106563825	LOC106563825	ubiquitin-like protein 3
106563826	NA	LOC106563826	LOC106563826	general transcription factor II-I repeat domain-containing protein 2-like
106563829	ENSSSAG00000069118	skp2	skp2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase
106563833	ENSSSAG00000116487	LOC106563833	LOC106563833	NEDD4 binding protein 2 like 1
106563839	ENSSSAG00000117575	ccdc169	ccdc169	coiled-coil domain containing 169
106563843	NA	LOC106563843	LOC106563843	uncharacterized LOC106563843
106563844	NA	LOC106563844	LOC106563844	serine-rich and transmembrane domain-containing protein 1
106563846	ENSSSAG00000007377	LOC106563846	LOC106563846	GTPase IMAP family member 7-like
106563853	ENSSSAG00000007780	sparta	sparta	spartin a
106563854	ENSSSAG00000007788	ccna1	ccna1	cyclin A1
106563855	NA	LOC106563855	LOC106563855	regulatory factor X-associated protein
106563856	ENSSSAG00000103284	smad9	smad9	SMAD family member 9
106563857	ENSSSAG00000095206	exosc8	exosc8	exosome component 8
106563858	ENSSSAG00000007858	alg5	alg5	ALG5 dolichyl-phosphate beta-glucosyltransferase
106563861	ENSSSAG00000007858	supt20	supt20	SPT20 homolog, SAGA complex component
106563863	ENSSSAG00000090083	arfip2b	arfip2b	ADP-ribosylation factor interacting protein 2b
106563865	ENSSSAG00000069298	nadk2	nadk2	NAD kinase 2, mitochondrial
106563867	NA	fhdc3	fhdc3	FH2 domain containing 3
106563869	NA	LOC106563869	LOC106563869	protein starmaker-like
106563870	ENSSSAG00000083905	LOC106563870	LOC106563870	C-type mannose receptor 2-like
106563873	ENSSSAG00000008104	postna	postna	periostin, osteoblast specific factor a
106563875	ENSSSAG00000008829	dchs1b	dchs1b	dachsous cadherin-related 1b
106563876	ENSSSAG00000009878	trim47	trim47	tripartite motif containing 47
106563878	ENSSSAG00000096494	trim3b	trim3b	tripartite motif containing 3b
106563882	ENSSSAG00000088683	slc46a3	slc46a3	solute carrier family 46 member 3
106563887	ENSSSAG00000000423	LOC106563887	LOC106563887	nipped-B-like protein
106563889	ENSSSAG00000010073	eva1c	eva1c	eva-1 homolog C (C. elegans)
106563893	NA	scaf4a	scaf4a	SR-related CTD-associated factor 4a
106563897	ENSSSAG00000004340	ltn1	ltn1	listerin E3 ubiquitin protein ligase 1
106563898	ENSSSAG00000103852	exoc6	exoc6	exocyst complex component 6
106563900	ENSSSAG00000122248	map3k7cl	map3k7cl	map3k7 C-terminal like
106563902	ENSSSAG00000119688	grik1a	grik1a	glutamate receptor, ionotropic, kainate 1a
106563906	ENSSSAG00000106024	LOC106563906	LOC106563906	cell adhesion molecule 2
106563909	ENSSSAG00000000163	LOC106563909	LOC106563909	excitatory amino acid transporter 1-like
106563910	ENSSSAG00000005834	LOC106563910	LOC106563910	ferroxidase HEPHL1-like
106563911	ENSSSAG00000120179	LOC106563911	LOC106563911	protein kinase C beta type
106563914	ENSSSAG00000005874	tmem135	tmem135	transmembrane protein 135
106563917	ENSSSAG00000113688	si:ch1073-15f19.2	si:ch1073-15f19.2	serine-rich adhesin for platelets
106563918	ENSSSAG00000089647	LOC106563918	LOC106563918	nuclear pore complex protein Nup155-like
106563920	ENSSSAG00000087700	LOC106563920	LOC106563920	uncharacterized LOC106563920
106563923	ENSSSAG00000006638	smpd1	smpd1	sphingomyelin phosphodiesterase 1
106563924	ENSSSAG00000006664	tpte	tpte	transmembrane phosphatase with tensin homology
106563925	ENSSSAG00000111575	LOC106563925	LOC106563925	thrombospondin type-1 domain-containing protein 1
106563926	ENSSSAG00000085565	LOC106563926	LOC106563926	antimicrobial peptide NK-lysin-like
106563928	ENSSSAG00000114537	LOC106563928	LOC106563928	solute carrier family 46 member 3-like
106563929	ENSSSAG00000006795	proser1	proser1	proline and serine rich 1
106563931	ENSSSAG00000118365	LOC106563931	LOC106563931	NLR family CARD domain-containing protein 3-like
106563932	ENSSSAG00000006835	paxbp1	paxbp1	PAX3 and PAX7 binding protein 1
106563934	ENSSSAG00000006871	gbe1a	gbe1a	glucan (1,4-alpha-), branching enzyme 1a
106563935	NA	LOC106563935	LOC106563935	protocadherin Fat 3-like
106563936	ENSSSAG00000106791	LOC106563936	LOC106563936	uncharacterized LOC106563936
106563937	ENSSSAG00000007193	ddx52	ddx52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
106563938	ENSSSAG00000121993	LOC106563938	LOC106563938	serine/arginine-rich splicing factor 1B-like
106563939	ENSSSAG00000007600	inpp5kb	inpp5kb	inositol polyphosphate-5-phosphatase Kb
106563940	ENSSSAG00000083173	LOC106563940	LOC106563940	palmitoyltransferase ZDHHC8B
106563942	ENSSSAG00000119984	LOC106563942	LOC106563942	phosphatidylinositol transfer protein
106563944	ENSSSAG00000090970	pigs	pigs	phosphatidylinositol glycan anchor biosynthesis, class S
106563945	ENSSSAG00000007618	aldocb	aldocb	aldolase C, fructose-bisphosphate, b
106563947	ENSSSAG00000007711	LOC106563947	LOC106563947	baculoviral IAP repeat-containing protein 2
106563948	ENSSSAG00000000795	smad4a	smad4a	SMAD family member 4a
106563953	NA	LOC106563953	LOC106563953	ferredoxin-fold anticodon-binding domain-containing protein 1
106563957	NA	LOC106563957	LOC106563957	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN-like
106563960	ENSSSAG00000097253	LOC106563960	LOC106563960	layilin-like
106563961	ENSSSAG00000092553	si:dkey-71l1.1	si:dkey-71l1.1	uncharacterized LOC106563961
106563963	NA	LOC106563963	LOC106563963	V-set and immunoglobulin domain-containing protein 10-like 2
106563964	ENSSSAG00000007777	chek1	chek1	checkpoint kinase 1
106563966	NA	LOC106563966	LOC106563966	V-set and immunoglobulin domain-containing protein 10-like 2
106563967	ENSSSAG00000007798	LOC106563967	LOC106563967	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like
106563969	NA	LOC106563969	LOC106563969	serine/threonine-protein kinase sgk-1-like
106563972	ENSSSAG00000007817	LOC106563972	LOC106563972	mitochondrial dynamics protein MID51-like
106563975	ENSSSAG00000000757	LOC106563975	LOC106563975	bone morphogenetic protein 10-like
106563979	NA	LOC106563979	LOC106563979	uncharacterized LOC106563979
106563980	NA	LOC106563980	LOC106563980	gastrula zinc finger protein XlCGF26.1-like
106563981	NA	LOC106563981	LOC106563981	zinc finger protein 135-like
106563985	ENSSSAG00000000897	LOC106563985	LOC106563985	transcription factor RFX3-like
106563987	ENSSSAG00000110834	LOC106563987	LOC106563987	zinc finger protein 501-like
106563988	ENSSSAG00000102000	radil	radil	Ras association and DIL domains
106563989	ENSSSAG00000098143	LOC106563989	LOC106563989	forkhead box protein K1
106563991	ENSSSAG00000007843	LOC106563991	LOC106563991	actin-related protein 2/3 complex subunit 1B-B
106563992	ENSSSAG00000090079	LOC106563992	LOC106563992	glutamate receptor ionotropic, NMDA 2A
106563993	ENSSSAG00000058606	LOC106563993	LOC106563993	Golgi apparatus membrane protein TVP23 homolog A
106563996	ENSSSAG00000007871	LOC106563996	LOC106563996	suppressor of cytokine signaling 1-like
106563997	ENSSSAG00000117739	LOC106563997	LOC106563997	zinc finger protein 501-like
106564000	NA	LOC106564000	LOC106564000	zinc finger protein 239-like
106564005	ENSSSAG00000111819	LOC106564005	LOC106564005	actin, cytoplasmic 1-like
106564006	ENSSSAG00000001096	LOC106564006	LOC106564006	zinc finger protein GLIS3-like
106564007	ENSSSAG00000007907	LOC106564007	LOC106564007	gastrula zinc finger protein XlCGF57.1-like
106564008	ENSSSAG00000097360	LOC106564008	LOC106564008	zinc finger protein 883-like
106564009	ENSSSAG00000084052	LOC106564009	LOC106564009	zinc finger protein 436-like
106564010	ENSSSAG00000086045	LOC106564010	LOC106564010	gastrula zinc finger protein XlCGF7.1-like
106564011	ENSSSAG00000108686	LOC106564011	LOC106564011	gastrula zinc finger protein XlCGF17.1-like
106564013	ENSSSAG00000091568	LOC106564013	LOC106564013	eukaryotic translation initiation factor 3 subunit B-like
106564014	NA	LOC106564014	LOC106564014	zinc finger protein 239
106564015	ENSSSAG00000094349	LOC106564015	LOC106564015	zinc finger protein 501-like
106564016	ENSSSAG00000115902	LOC106564016	LOC106564016	guanine nucleotide-binding protein subunit alpha-12-like
106564017	ENSSSAG00000108857	LOC106564017	LOC106564017	oocyte zinc finger protein XlCOF6-like
106564018	ENSSSAG00000091209	LOC106564018	LOC106564018	carbohydrate sulfotransferase 12
106564020	ENSSSAG00000117911	LOC106564020	LOC106564020	gastrula zinc finger protein XlCGF57.1-like
106564021	NA	LOC106564021	LOC106564021	gastrula zinc finger protein XlCGF26.1-like
106564022	ENSSSAG00000116831	LOC106564022	LOC106564022	zinc finger protein 501
106564023	ENSSSAG00000105650	LOC106564023	LOC106564023	zinc finger protein 239-like
106564026	NA	LOC106564026	LOC106564026	oocyte zinc finger protein XlCOF6.1-like
106564027	ENSSSAG00000001322	unc5cb	unc5cb	unc-5 netrin receptor Cb
106564028	ENSSSAG00000081789	LOC106564028	LOC106564028	zinc finger protein OZF-like
106564030	ENSSSAG00000004247	LOC106564030	LOC106564030	zinc finger protein 345-like
106564031	NA	LOC106564031	LOC106564031	zinc finger protein 883-like
106564034	ENSSSAG00000004234	LOC106564034	LOC106564034	zinc finger protein 345-like
106564035	NA	LOC106564035	LOC106564035	zinc finger and SCAN domain-containing protein 2-like
106564036	ENSSSAG00000098812	LOC106564036	LOC106564036	zinc finger protein 345-like
106564037	ENSSSAG00000112703	LOC106564037	LOC106564037	zinc finger protein 431-like
106564038	ENSSSAG00000107614	LOC106564038	LOC106564038	zinc finger protein 883-like
106564039	ENSSSAG00000102625	LOC106564039	LOC106564039	zinc finger protein 883-like
106564040	NA	LOC106564040	LOC106564040	zinc finger protein 501-like
106564041	ENSSSAG00000119831	LOC106564041	LOC106564041	zinc finger protein 14-like
106564042	ENSSSAG00000110213	LOC106564042	LOC106564042	zinc finger and SCAN domain-containing protein 12-like
106564044	ENSSSAG00000120718	LOC106564044	LOC106564044	zinc finger protein 239
106564045	NA	LOC106564045	LOC106564045	zinc finger protein 239-like
106564046	NA	LOC106564046	LOC106564046	zinc finger protein 239-like
106564047	ENSSSAG00000087790	LOC106564047	LOC106564047	zinc finger protein 239-like
106564048	NA	LOC106564048	LOC106564048	zinc finger protein 239-like
106564049	NA	LOC106564049	LOC106564049	zinc finger protein 501
106564050	NA	LOC106564050	LOC106564050	zinc finger protein 501-like
106564051	ENSSSAG00000002083	pdlim5b	pdlim5b	PDZ and LIM domain 5b
106564052	ENSSSAG00000100706	LOC106564052	LOC106564052	gastrula zinc finger protein XlCGF17.1-like
106564056	NA	LOC106564056	LOC106564056	zinc finger protein 271
106564057	NA	LOC106564057	LOC106564057	zinc finger protein 665
106564059	NA	LOC106564059	LOC106564059	zinc finger protein 239-like
106564061	ENSSSAG00000004301	LOC106564061	LOC106564061	ADP-ribosylation factor-binding protein GGA3-like
106564064	NA	LOC106564064	LOC106564064	zinc finger protein 2-like
106564067	NA	LOC106564067	LOC106564067	protein Ycf2-like
106564069	ENSSSAG00000086064	LOC106564069	LOC106564069	zinc finger protein 883-like
106564070	ENSSSAG00000091777	LOC106564070	LOC106564070	zinc finger protein 883-like
106564071	NA	LOC106564071	LOC106564071	zinc finger protein 239-like
106564072	ENSSSAG00000001977	LOC106564072	LOC106564072	bone morphogenetic protein receptor type-1B-like
106564073	NA	LOC106564073	LOC106564073	zinc finger protein 135-like
106564074	ENSSSAG00000104885	LOC106564074	LOC106564074	vascular cell adhesion protein 1-like
106564077	ENSSSAG00000093676	LOC106564077	LOC106564077	oocyte zinc finger protein XlCOF6-like
106564078	NA	LOC106564078	LOC106564078	zinc finger protein 501-like
106564079	ENSSSAG00000111154	LOC106564079	LOC106564079	zinc finger protein 501-like
106564080	NA	LOC106564080	LOC106564080	gastrula zinc finger protein XlCGF7.1-like
106564083	NA	LOC106564083	LOC106564083	axin-1-like
106564086	ENSSSAG00000004463	LOC106564086	LOC106564086	A-kinase anchor protein 8-like
106564087	ENSSSAG00000093382	LOC106564087	LOC106564087	zinc finger protein 600
106564088	NA	LOC106564088	LOC106564088	zinc finger protein OZF-like
106564089	ENSSSAG00000114100	LOC106564089	LOC106564089	pikachurin
106564090	NA	LOC106564090	LOC106564090	zinc finger and SCAN domain-containing protein 2-like
106564092	ENSSSAG00000111649	LOC106564092	LOC106564092	oocyte zinc finger protein XlCOF6-like
106564093	NA	LOC106564093	LOC106564093	oocyte zinc finger protein XlCOF6-like
106564094	NA	LOC106564094	LOC106564094	zinc finger protein 721
106564095	ENSSSAG00000108991	LOC106564095	LOC106564095	gastrula zinc finger protein XlCGF57.1
106564097	ENSSSAG00000114100	LOC106564097	LOC106564097	pikachurin-like
106564098	ENSSSAG00000089085	LOC106564098	LOC106564098	phospholipase A2-like
106564100	ENSSSAG00000095628	LOC106564100	LOC106564100	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog
106564101	ENSSSAG00000004648	LOC106564101	LOC106564101	probable glutamate--tRNA ligase, mitochondrial
106564102	ENSSSAG00000004703	LOC106564102	LOC106564102	ADP-ribosylation factor-binding protein GGA3
106564104	ENSSSAG00000004786	LOC106564104	LOC106564104	hsp90 co-chaperone Cdc37
106564105	NA	cplane1	cplane1	ciliogenesis and planar polarity effector 1
106564107	ENSSSAG00000120120	LOC106564107	LOC106564107	vascular cell adhesion protein 1
106564108	ENSSSAG00000117255	LOC106564108	LOC106564108	bifunctional apoptosis regulator-like
106564110	NA	LOC106564110	LOC106564110	uncharacterized LOC106564110
106564111	ENSSSAG00000099503	LOC106564111	LOC106564111	cAMP-specific 3',5'-cyclic phosphodiesterase 4C-like
106564112	ENSSSAG00000103647	LOC106564112	LOC106564112	zinc finger protein OZF
106564113	ENSSSAG00000102743	LOC106564113	LOC106564113	gastrula zinc finger protein XlCGF26.1-like
106564115	ENSSSAG00000004845	LOC106564115	LOC106564115	RNA exonuclease 5-like
106564116	ENSSSAG00000004871	LOC106564116	LOC106564116	zinc finger protein 585B
106564118	ENSSSAG00000004885	thumpd1	thumpd1	THUMP domain containing 1
106564120	NA	LOC106564120	LOC106564120	zinc finger protein 62 homolog
106564121	ENSSSAG00000084516	LOC106564121	LOC106564121	zinc finger protein 239-like
106564122	ENSSSAG00000083915	LOC106564122	LOC106564122	poly(A)-specific ribonuclease PARN-like
106564124	ENSSSAG00000099796	LOC106564124	LOC106564124	mitotic spindle assembly checkpoint protein MAD1
106564125	ENSSSAG00000106634	LOC106564125	LOC106564125	zinc finger protein 883-like
106564126	ENSSSAG00000000283	LOC106564126	LOC106564126	zinc finger protein 501-like
106564127	ENSSSAG00000005243	LOC106564127	LOC106564127	zinc finger protein 271
106564128	NA	LOC106564128	LOC106564128	zinc finger protein 883-like
106564129	ENSSSAG00000085565	LOC106564129	LOC106564129	uncharacterized LOC106564129
106564130	NA	LOC106564130	LOC106564130	zinc finger protein 271
106564131	NA	LOC106564131	LOC106564131	zinc finger protein 721
106564132	ENSSSAG00000109731	LOC106564132	LOC106564132	lysosomal alpha-glucosidase
106564136	NA	LOC106564136	LOC106564136	mucin-5AC
106564138	ENSSSAG00000094984	LOC106564138	LOC106564138	protein ELFN1-like
106564139	ENSSSAG00000005707	LOC106564139	LOC106564139	cdc42-interacting protein 4 homolog
106564140	NA	LOC106564140	LOC106564140	basic proline-rich protein
106564141	ENSSSAG00000121953	ttyh3b	ttyh3b	tweety family member 3b
106564142	NA	LOC106564142	LOC106564142	MHC class II regulatory factor RFX1
106564143	NA	LOC106564143	LOC106564143	ankyrin repeat and LEM domain-containing protein 2
106564145	ENSSSAG00000005014	LOC106564145	LOC106564145	multivesicular body subunit 12A
106564147	ENSSSAG00000086285	LOC106564147	LOC106564147	endogenous retrovirus group 3 member 1 Env polyprotein-like
106564150	ENSSSAG00000000316	LOC106564150	LOC106564150	phospholipid phosphatase 3-like
106564152	ENSSSAG00000002232	LOC106564152	LOC106564152	WD repeat-containing protein 70
106564154	NA	LOC106564154	LOC106564154	QRFP-like peptide receptor
106564160	ENSSSAG00000103264	LOC106564160	LOC106564160	oocyte zinc finger protein XlCOF6-like
106564161	ENSSSAG00000002112	LOC106564161	LOC106564161	glial cell line-derived neurotrophic factor
106564162	ENSSSAG00000085320	LOC106564162	LOC106564162	myosin heavy chain, fast skeletal muscle
106564163	NA	LOC106564163	LOC106564163	myosin-7-like
106564164	ENSSSAG00000089665	LOC106564164	LOC106564164	zinc finger protein 436
106564165	ENSSSAG00000094785	LOC106564165	LOC106564165	protein FAM222A
106564166	NA	LOC106564166	LOC106564166	zinc finger protein 239
106564167	NA	LOC106564167	LOC106564167	oocyte zinc finger protein XlCOF6
106564171	ENSSSAG00000089149	LOC106564171	LOC106564171	retinol dehydrogenase 8-like
106564174	ENSSSAG00000005191	LOC106564174	LOC106564174	pre-B-cell leukemia transcription factor 1-like
106564177	NA	LOC106564177	LOC106564177	sialoadhesin-like
106564178	ENSSSAG00000004625	LOC106564178	LOC106564178	uncharacterized LOC106564178
106564179	ENSSSAG00000000814	LOC106564179	LOC106564179	oocyte zinc finger protein XlCOF6-like
106564180	ENSSSAG00000003903	sgsm1b	sgsm1b	small G protein signaling modulator 1b
106564181	NA	LOC106564181	LOC106564181	zinc finger protein 883-like
106564193	ENSSSAG00000105692	LOC106564193	LOC106564193	calmodulin-regulated spectrin-associated protein 3
106564195	ENSSSAG00000002757	LOC106564195	LOC106564195	ARF GTPase-activating protein GIT2
106564198	ENSSSAG00000113786	LOC106564198	LOC106564198	myosin heavy chain, fast skeletal muscle-like
106564201	NA	LOC106564201	LOC106564201	trichohyalin
106564202	NA	LOC106564202	LOC106564202	zinc finger protein 239-like
106564203	ENSSSAG00000101971	LOC106564203	LOC106564203	zinc finger protein 239-like
106564204	NA	LOC106564204	LOC106564204	saposin-C-like
106564205	ENSSSAG00000004994	LOC106564205	LOC106564205	uncharacterized LOC106564205
106564206	ENSSSAG00000005005	LOC106564206	LOC106564206	pre-B-cell leukemia transcription factor 1
106564207	ENSSSAG00000003484	LOC106564207	LOC106564207	multivesicular body subunit 12A
106564208	ENSSSAG00000107285	LOC106564208	LOC106564208	meteorin-like protein
106564211	ENSSSAG00000111173	LOC106564211	LOC106564211	myosin heavy chain, fast skeletal muscle
106564212	NA	LOC106564212	LOC106564212	zinc finger protein 2-like
106564215	ENSSSAG00000089672	LOC106564215	LOC106564215	tumor necrosis factor ligand superfamily member 14-like
106564216	NA	LOC106564216	LOC106564216	adhesion G protein-coupled receptor E5-like
106564218	NA	LOC106564218	LOC106564218	caspase b-like
106564221	ENSSSAG00000005059	LOC106564221	LOC106564221	protein GPR108
106564224	ENSSSAG00000112499	LOC106564224	LOC106564224	zinc finger protein 239-like
106564225	ENSSSAG00000112924	LOC106564225	LOC106564225	NACHT, LRR and PYD domains-containing protein 3
106564228	NA	triap1	triap1	TP53 regulated inhibitor of apoptosis 1
106564233	ENSSSAG00000005240	LOC106564233	LOC106564233	nucleoredoxin-like protein 1
106564234	ENSSSAG00000095162	LOC106564234	LOC106564234	mitochondrial dicarboxylate carrier
106564236	ENSSSAG00000005271	LOC106564236	LOC106564236	mycbp associated protein
106564237	ENSSSAG00000005266	LOC106564237	LOC106564237	GTP-binding protein Rhes
106564241	NA	LOC106564241	LOC106564241	GTPase IMAP family member 7-like
106564242	ENSSSAG00000088313	LOC106564242	LOC106564242	GTPase IMAP family member 7
106564244	ENSSSAG00000106098	LOC106564244	LOC106564244	claudin-9-like
106564246	ENSSSAG00000004563	LOC106564246	LOC106564246	reticulon-4 receptor-like
106564249	NA	LOC106564249	LOC106564249	UPF0390 protein zgc136864
106564250	ENSSSAG00000094029	cc2d1a	cc2d1a	coiled-coil and C2 domain containing 1A
106564251	ENSSSAG00000113524	LOC106564251	LOC106564251	regulator of G-protein signaling 5-like
106564253	ENSSSAG00000091901	LOC106564253	LOC106564253	nanos homolog 3-like
106564255	ENSSSAG00000111558	LOC106564255	LOC106564255	far upstream element-binding protein 2
106564257	ENSSSAG00000004638	LOC106564257	LOC106564257	proline dehydrogenase 1, mitochondrial
106564258	ENSSSAG00000005605	LOC106564258	LOC106564258	sterile alpha motif domain-containing protein 1
106564260	ENSSSAG00000114546	LOC106564260	LOC106564260	cAMP-dependent protein kinase catalytic subunit alpha
106564261	ENSSSAG00000005651	LOC106564261	LOC106564261	histone chaperone asf1b-B
106564263	ENSSSAG00000005349	LOC106564263	LOC106564263	transitional endoplasmic reticulum ATPase-like
106564264	ENSSSAG00000005662	LOC106564264	LOC106564264	DENN domain-containing protein 1B-like
106564265	NA	LOC106564265	LOC106564265	dnaJ homolog subfamily B member 1
106564266	ENSSSAG00000005397	LOC106564266	LOC106564266	scavenger receptor class F member 2-like
106564267	ENSSSAG00000089227	tecrb	tecrb	trans-2,3-enoyl-CoA reductase b
106564269	NA	LOC106564269	LOC106564269	E3 ubiquitin-protein ligase TRIM21
106564271	ENSSSAG00000120073	LOC106564271	LOC106564271	histone-arginine methyltransferase CARM1
106564272	ENSSSAG00000005987	si:ch211-286b5.4	si:ch211-286b5.4	afadin- and alpha-actinin-binding protein B
106564274	NA	LOC106564274	LOC106564274	nanos homolog 1-like
106564275	NA	LOC106564275	LOC106564275	pancreatic secretory granule membrane major glycoprotein GP2-like
106564276	ENSSSAG00000005994	LOC106564276	LOC106564276	nanos homolog 3-like
106564280	ENSSSAG00000103017	tekt4	tekt4	tektin 4
106564285	NA	si:ch211-286b5.2	si:ch211-286b5.2	leucine-rich repeat extensin-like protein 5
106564287	NA	LOC106564287	LOC106564287	endonuclease III-like protein 1
106564290	NA	LOC106564290	LOC106564290	myosin heavy chain, fast skeletal muscle-like
106564293	NA	LOC106564293	LOC106564293	myeloid-associated differentiation marker-like protein 2
106564294	ENSSSAG00000088117	LOC106564294	LOC106564294	tether containing UBX domain for GLUT4-like
106564295	ENSSSAG00000005442	cabp7b	cabp7b	calcium binding protein 7b
106564296	ENSSSAG00000004221	LOC106564296	LOC106564296	somatostatin receptor type 5
106564297	ENSSSAG00000083657	LOC106564297	LOC106564297	Na(+)/H(+) exchange regulatory cofactor NHE-RF2-like
106564299	ENSSSAG00000114362	LOC106564299	LOC106564299	homeobox protein prophet of Pit-1-like
106564302	NA	LOC106564302	LOC106564302	transportin-2
106564303	NA	LOC106564303	LOC106564303	tuberin
106564304	ENSSSAG00000097089	tescb	tescb	tescalcin b
106564305	NA	LOC106564305	LOC106564305	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog
106564306	ENSSSAG00000038426	LOC106564306	LOC106564306	G-protein coupled receptor family C group 5 member B
106564307	NA	LOC106564307	LOC106564307	cylicin-1
106564308	ENSSSAG00000008178	LOC106564308	LOC106564308	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog
106564309	ENSSSAG00000108874	LOC106564309	LOC106564309	lysine-rich nucleolar protein 1
106564310	ENSSSAG00000008190	exosc1	exosc1	exosome component 1
106564311	ENSSSAG00000008227	cdc25d	cdc25d	cell division cycle 25 homolog d
106564312	NA	LOC106564312	LOC106564312	autism susceptibility gene 2 protein homolog
106564313	NA	LOC106564313	LOC106564313	phosphoglycerate mutase 1
106564314	ENSSSAG00000090525	LOC106564314	LOC106564314	uncharacterized LOC106564314
106564315	NA	LOC106564315	LOC106564315	uncharacterized LOC106564315
106564318	ENSSSAG00000110795	LOC106564318	LOC106564318	protrudin-like
106564320	NA	LOC106564320	LOC106564320	uncharacterized LOC106564320
106564323	ENSSSAG00000005650	myo1hb	myo1hb	myosin IHb
106564324	NA	LOC106564324	LOC106564324	zinc finger matrin-type protein 4-like
106564328	NA	LOC106564328	LOC106564328	uncharacterized LOC106564328
106564329	ENSSSAG00000101008	LOC106564329	LOC106564329	transcription factor MafG-like
106564332	ENSSSAG00000092740	LOC106564332	LOC106564332	kynurenine formamidase-like
106564333	NA	LOC106564333	LOC106564333	uncharacterized LOC106564333
106564334	ENSSSAG00000008404	LOC106564334	LOC106564334	dynein axonemal light chain 4
106564336	NA	LOC106564336	LOC106564336	CD209 antigen-like protein E
106564337	NA	LOC106564337	LOC106564337	gastrula zinc finger protein XlCGF46.1-like
106564339	ENSSSAG00000118177	LOC106564339	LOC106564339	gastrula zinc finger protein XlCGF57.1-like
106564340	NA	LOC106564340	LOC106564340	zinc finger protein 37 homolog
106564342	ENSSSAG00000008489	slc26a11	slc26a11	solute carrier family 26 member 11
106564343	ENSSSAG00000099714	LOC106564343	LOC106564343	protein phosphatase Slingshot homolog 1-like
106564346	NA	LOC106564346	LOC106564346	uncharacterized LOC106564346
106564347	ENSSSAG00000008650	LOC106564347	LOC106564347	myeloid-associated differentiation marker-like protein 2
106564351	NA	LOC106564351	LOC106564351	synaptogyrin-2
106564352	ENSSSAG00000096487	LOC106564352	LOC106564352	thymidine kinase, cytosolic
106564353	NA	LOC106564353	LOC106564353	antimicrobial peptide NK-lysin-like
106564354	NA	LOC106564354	LOC106564354	soluble calcium-activated nucleotidase 1
106564355	ENSSSAG00000008769	LOC106564355	LOC106564355	peroxisome proliferator-activated receptor gamma coactivator-related protein 1-like
106564356	ENSSSAG00000008825	LOC106564356	LOC106564356	rano class II histocompatibility antigen, A beta chain-like
106564357	ENSSSAG00000005501	LOC106564357	LOC106564357	polypeptide N-acetylgalactosaminyltransferase 9-like
106564358	ENSSSAG00000008255	LOC106564358	LOC106564358	protein O-GlcNAcase
106564359	ENSSSAG00000094473	LOC106564359	LOC106564359	Fc receptor-like protein 5
106564360	ENSSSAG00000085531	LOC106564360	LOC106564360	H-2 class II histocompatibility antigen, A-Q alpha chain
106564361	ENSSSAG00000001112	LOC106564361	LOC106564361	transmembrane channel-like protein 7
106564362	ENSSSAG00000008837	LOC106564362	LOC106564362	stress-induced-phosphoprotein 1
106564367	ENSSSAG00000001473	LOC106564367	LOC106564367	aspartate aminotransferase, cytoplasmic-like
106564368	ENSSSAG00000001550	LOC106564368	LOC106564368	ectonucleoside triphosphate diphosphohydrolase 7
106564369	ENSSSAG00000088969	LOC106564369	LOC106564369	mitoferrin-2-like
106564371	ENSSSAG00000005876	LOC106564371	LOC106564371	synaptic vesicle 2-related protein
