NCBI_TID	Microarray_PID
XM_014168000.2	C011R061
XM_014168375.2	C066R041
XM_014168573.2	C236R068
XM_014168766.2	C098R114
XM_014168766.2	C196R047
XM_014168832.2	C041R058
XM_014169054.2	C115R053
XM_014169072.2	C019R148
XM_014169118.2	C203R087
XM_014169284.2	C152R001
XM_014169288.2	C222R165
XM_014169288.2	C002R059
XM_014169344.2	C104R016
XM_014169683.2	C170R161
XM_014170000.2	C002R084
XM_014170009.2	C145R148
XM_014170019.2	C016R057
XM_014170213.2	C038R110
XM_014170388.2	C066R040
XM_014170439.2	C183R143
XM_014170439.2	C220R058
XM_014170479.2	C230R100
XM_014170610.2	C054R144
XM_014170807.2	C164R064
XM_014170941.2	C247R037
XM_014170984.2	C248R063
XM_014171023.2	C078R080
XM_014171129.2	C076R046
XM_014171171.2	C258R073
XM_014171264.2	C150R160
XM_014171271.2	C034R111
XM_014171295.2	C250R007
XM_014171295.2	C209R041
XM_014171312.2	C175R018
XM_014171312.2	C071R029
XM_014171324.2	C177R130
XM_014171328.2	C130R057
XM_014171335.2	C233R014
XM_014171546.2	C020R079
XM_014171548.2	C065R008
XM_014171601.2	C032R155
XM_014171601.2	C124R065
XM_014171615.2	C130R081
XM_014171685.2	C109R159
XM_014171685.2	C056R016
XM_014171685.2	C162R069
XM_014171685.2	C230R123
XM_014171685.2	C189R140
XM_014171685.2	C216R105
XM_014172202.2	C196R043
XM_014172312.2	C098R084
XM_014172462.2	C033R055
XM_014172504.2	C075R038
XM_014172504.2	C163R056
XM_014172504.2	C148R053
XM_014172504.2	C073R129
XM_014172663.2	C109R165
XM_014172689.2	C105R010
XM_014172932.2	C104R041
XM_014172932.2	C093R057
XM_014172994.2	C206R134
XM_014173299.2	C119R080
XM_014173313.2	C214R014
XM_014173363.2	C017R065
XM_014173511.2	C202R008
XM_014173511.2	C206R003
XM_014173511.2	C028R009
XM_014173569.2	C088R105
XM_014173585.2	C142R056
XM_014173615.2	C248R011
XM_014173634.2	C065R119
XM_014173813.2	C215R121
XM_014173840.2	C025R098
XM_014173843.2	C093R162
XM_014173874.2	C112R028
XM_014173969.2	C082R073
XM_014173969.2	C040R031
XM_014173969.2	C058R074
XM_014174071.2	C146R156
XM_014174074.2	C155R081
XM_014174326.1	C251R107
XM_014174330.2	C093R071
XM_014174374.2	C151R054
XM_014174425.2	C166R036
XM_014174451.2	C064R130
XM_014174534.2	C028R031
XM_014174656.2	C084R112
XM_014174656.2	C050R078
XM_014174656.2	C147R101
XM_014174656.2	C144R032
XM_014175099.2	C128R022
XM_014175099.2	C045R112
XM_014175169.2	C159R049
XM_014175186.2	C119R039
XM_014175215.2	C010R097
XM_014175266.2	C244R132
XM_014175326.2	C057R061
XM_014175427.2	C010R015
XM_014175427.2	C212R059
XM_014175493.2	C171R026
XM_014175532.2	C209R028
XM_014175543.2	C227R048
XM_014175755.2	C076R100
XM_014175760.2	C129R139
XM_014175960.2	C163R053
XM_014176099.2	C016R063
XM_014176153.2	C201R117
XM_014176217.2	C003R076
XM_014176245.2	C239R011
XM_014176492.2	C071R160
XM_014176616.2	C049R046
XM_014176900.2	C200R164
XM_014176901.2	C119R020
XM_014176940.2	C015R006
XM_014176954.2	C106R123
XM_014177180.2	C059R101
XM_014177200.2	C182R124
XM_014177233.2	C207R132
XM_014177340.2	C199R053
XM_014177532.2	C171R027
XM_014177562.2	C188R121
XM_014177562.2	C194R052
XM_014177562.2	C029R139
XM_014177609.2	C115R118
XM_014177850.1	C254R080
XM_014177903.2	C034R025
XM_014177991.2	C100R088
XM_014177991.2	C131R009
XM_014178179.2	C121R160
XM_014178179.2	C202R076
XM_014178213.2	C158R129
XM_014178257.2	C037R166
XM_014178262.2	C192R149
XM_014178288.2	C068R055
XM_014178418.2	C111R120
XM_014178515.1	C009R078
XM_014178528.2	C249R047
XM_014178533.2	C095R002
XM_014178542.2	C164R016
XM_014178568.2	C127R024
XM_014178646.2	C212R053
XM_014178687.2	C213R153
XM_014178744.2	C065R106
XM_014178763.2	C021R004
XM_014178763.2	C120R163
XM_014178866.2	C258R147
XM_014178866.2	C060R052
XM_014178868.2	C125R166
XM_014178868.2	C018R107
XM_014178868.2	C019R162
XM_014178868.2	C121R040
XM_014178884.2	C060R169
XM_014178896.2	C189R150
XM_014178897.2	C243R060
XM_014178944.2	C101R050
XM_014179095.2	C115R005
XM_014179095.2	C083R028
XM_014179199.2	C215R076
XM_014179208.2	C099R089
XM_014179274.2	C062R074
XM_014179291.2	C055R128
XM_014179292.2	C134R086
XM_014179447.2	C192R074
XM_014179670.2	C127R077
XM_014179787.2	C189R143
XM_014179901.2	C084R107
XM_014179932.2	C166R020
XM_014179942.2	C153R056
XM_014179945.2	C003R046
XM_014180117.2	C149R014
XM_014180117.2	C117R085
XM_014180182.2	C179R087
XM_014180198.2	C242R092
XM_014180198.2	C142R118
XM_014180198.2	C117R158
XM_014180198.2	C084R027
XM_014180198.2	C018R084
XM_014180204.2	C049R112
XM_014180302.2	C151R003
XM_014180364.2	C085R140
XM_014180426.2	C062R059
XM_014180582.2	C005R144
XM_014180637.2	C192R146
XM_014180637.2	C015R021
XM_014180637.2	C102R106
XM_014180637.2	C045R064
XM_014180682.2	C054R074
XM_014180754.1	C038R129
XM_014180754.1	C054R116
XM_014180826.1	C015R071
XM_014180829.2	C002R139
XM_014180872.2	C232R126
XM_014180983.2	C169R015
XM_014181043.2	C065R090
XM_014181052.2	C221R148
XM_014181085.2	C055R154
XM_014181243.2	C217R156
XM_014181300.2	C251R100
XM_014181332.2	C174R114
XM_014181350.2	C168R018
XM_014181356.2	C146R109
XM_014181367.2	C200R035
XM_014181536.2	C014R139
XM_014181618.2	C128R110
XM_014181666.2	C111R149
XM_014181821.2	C172R121
XM_014182566.2	C018R043
XM_014182566.2	C036R008
XM_014183267.2	C064R044
XM_014183528.2	C035R026
XM_014184489.2	C037R088
XM_014185044.2	C162R145
XM_014185237.2	C024R134
XM_014186825.2	C263R043
XM_014187130.2	C014R142
XM_014187881.2	C055R083
XM_014187881.2	C089R119
XM_014188128.2	C003R130
XM_014188394.2	C122R082
XM_014188662.2	C186R096
XM_014189186.2	C154R114
XM_014189914.2	C023R067
XM_014190227.2	C048R058
XM_014190254.2	C138R135
XM_014190332.2	C075R050
XM_014190332.2	C100R117
XM_014190403.2	C095R164
XM_014190413.2	C191R116
XM_014190560.2	C242R052
XM_014190568.2	C041R111
XM_014190599.2	C187R082
XM_014190599.2	C048R150
XM_014190675.2	C066R125
XM_014190921.2	C234R046
XM_014191019.2	C173R157
XM_014191024.2	C169R043
XM_014191131.1	C026R028
XM_014191275.2	C232R138
XM_014191313.2	C147R006
XM_014191347.2	C102R083
XM_014191525.2	C256R011
XM_014191536.2	C252R066
XM_014191805.2	C142R121
XM_014191911.2	C213R116
XM_014192054.2	C255R111
XM_014192266.2	C210R096
XM_014192320.1	C206R046
XM_014192367.2	C217R015
XM_014192422.2	C175R091
XM_014192458.2	C102R038
XM_014192517.2	C045R020
XM_014192622.2	C191R135
XM_014192738.2	C114R161
XM_014192825.2	C077R152
XM_014192825.2	C204R077
XM_014192836.2	C228R149
XM_014192893.2	C196R162
XM_014192901.2	C052R108
XM_014193037.2	C103R033
XM_014193096.2	C062R132
XM_014193144.2	C027R008
XM_014193375.2	C101R067
XM_014193405.2	C208R126
XM_014193512.2	C175R001
XM_014193512.2	C169R036
XM_014193569.2	C054R078
XM_014193773.2	C184R132
XM_014193860.2	C184R095
XM_014193860.2	C124R055
XM_014193860.2	C215R111
XM_014193860.2	C057R106
XM_014193860.2	C066R088
XM_014193939.2	C264R084
XM_014194036.2	C126R049
XM_014194114.2	C217R029
XM_014194114.2	C169R012
XM_014194282.2	C028R056
XM_014194527.2	C048R068
XM_014194809.2	C248R144
XM_014194811.2	C159R004
XM_014195290.2	C254R092
XM_014195396.2	C260R032
XM_014195582.2	C157R029
XM_014195593.2	C123R108
XM_014195780.2	C030R027
XM_014195818.2	C246R080
XM_014195892.2	C114R089
XM_014196064.2	C141R086
XM_014196067.2	C144R016
XM_014196136.2	C168R109
XM_014196136.2	C085R048
XM_014196180.2	C242R076
XM_014196558.2	C053R062
XM_014196748.2	C086R032
XM_014196748.2	C128R041
XM_014197002.2	C047R164
XM_014197046.2	C121R002
XM_014197070.2	C182R013
XM_014197075.2	C209R094
XM_014197166.2	C183R158
XM_014197166.2	C167R048
XM_014197570.2	C203R167
XM_014197645.2	C217R051
XM_014197721.2	C192R118
XM_014197782.2	C092R119
XM_014197818.2	C019R070
XM_014197824.2	C008R153
XM_014197891.2	C149R157
XM_014198061.2	C062R133
XM_014198098.2	C095R005
XM_014198098.2	C073R102
XM_014198132.2	C235R119
XM_014198142.2	C037R113
XM_014198142.2	C057R041
XM_014198193.2	C105R153
XM_014198198.2	C040R048
XM_014198198.2	C242R001
XM_014198318.2	C043R091
XM_014198328.2	C006R124
XM_014198390.2	C063R121
XM_014198390.2	C209R008
XM_014198973.2	C188R058
XM_014199060.1	C163R039
XM_014199125.2	C097R036
XM_014199135.2	C097R131
XM_014199137.2	C032R120
XM_014199137.2	C213R018
XM_014199187.2	C039R111
XM_014199199.2	C219R076
XM_014199199.2	C168R150
XM_014199209.2	C210R004
XM_014199501.2	C155R155
XM_014199767.2	C049R141
XM_014199805.2	C180R119
XM_014199902.2	C157R134
XM_014199902.2	C155R076
XM_014199902.2	C058R046
XM_014199902.2	C174R133
XM_014200110.2	C017R111
XM_014200110.2	C099R125
XM_014200184.2	C147R120
XM_014200233.1	C151R104
XM_014200384.2	C150R116
XM_014200456.2	C058R135
XM_014200470.2	C133R068
XM_014200604.2	C115R165
XM_014200604.2	C088R073
XM_014200676.2	C139R078
XM_014200676.2	C011R098
XM_014200743.2	C221R039
XM_014200898.2	C022R122
XM_014200899.2	C035R097
XM_014200899.2	C026R036
XM_014200932.2	C036R114
XM_014200972.2	C248R051
XM_014201002.2	C212R044
XM_014201010.2	C085R169
XM_014201332.2	C140R097
XM_014201339.2	C039R085
XM_014201376.2	C154R116
XM_014201386.2	C182R162
XM_014201443.2	C028R152
XM_014201444.2	C047R085
XM_014201480.2	C146R100
XM_014201488.2	C260R126
XM_014201489.2	C128R084
XM_014201514.2	C252R132
XM_014201744.2	C132R028
XM_014201873.2	C134R154
XM_014202350.2	C190R104
XM_014202524.2	C064R099
XM_014202526.2	C071R048
XM_014202526.2	C245R040
XM_014202526.2	C122R104
XM_014202526.2	C114R124
XM_014202526.2	C102R146
XM_014202526.2	C029R167
XM_014202526.2	C242R146
XM_014202526.2	C189R136
XM_014202629.2	C211R161
XM_014202629.2	C001R030
XM_014202647.2	C224R086
XM_014202903.2	C165R026
XM_014202982.2	C063R112
XM_014202984.2	C032R167
XM_014203003.2	C021R146
XM_014203025.2	C153R003
XM_014203057.2	C076R123
XM_014203057.2	C071R043
XM_014203057.2	C252R116
XM_014203108.2	C205R149
XM_014203447.2	C161R111
XM_014203569.2	C099R123
XM_014203576.2	C040R163
XM_014203665.2	C235R121
XM_014203707.2	C074R105
XM_014203762.2	C190R097
XM_014203794.2	C153R060
XM_014204006.2	C198R069
XM_014204017.2	C140R012
XM_014204417.2	C050R129
XM_014204593.2	C044R093
XM_014204593.2	C005R132
XM_014204593.2	C078R048
XM_014204642.2	C032R094
XM_014204642.2	C191R064
XM_014204670.2	C020R107
XM_014204684.2	C069R088
XM_014204706.2	C095R124
XM_014204726.2	C246R082
XM_014204726.2	C051R093
XM_014204774.2	C126R021
XM_014204848.2	C201R128
XM_014204848.2	C123R034
XM_014204945.2	C176R122
XM_014205022.2	C099R054
XM_014205065.2	C194R024
XM_014205121.2	C083R094
XM_014205287.2	C028R157
XM_014205575.2	C052R050
XM_014205747.2	C169R097
XM_014205931.2	C139R111
XM_014206096.2	C059R055
XM_014206096.2	C108R105
XM_014206211.2	C170R042
XM_014206378.2	C221R024
XM_014206586.2	C155R079
XM_014206592.2	C040R101
XM_014206622.2	C195R126
XM_014206630.2	C009R043
XM_014206757.2	C191R119
XM_014206780.2	C130R165
XM_014206783.2	C260R127
XM_014206881.2	C064R097
XM_014206954.2	C082R128
XM_014206972.2	C078R130
XM_014207063.2	C015R017
XM_014207109.2	C144R083
XM_014207267.2	C247R068
XM_014207267.2	C254R010
XM_014207504.2	C136R072
XM_014207648.2	C203R115
XM_014207648.2	C161R086
XM_014207729.2	C155R060
XM_014208278.2	C054R115
XM_014208295.2	C003R132
XM_014208380.2	C227R135
XM_014208380.2	C127R164
XM_014208518.2	C076R083
XM_014208518.2	C122R075
XM_014208546.2	C214R047
XM_014208574.2	C205R034
XM_014208617.2	C134R038
XM_014208991.2	C019R130
XM_014209194.2	C211R010
XM_014209363.2	C059R048
XM_014209368.2	C259R119
XM_014209452.2	C263R128
XM_014209557.2	C077R053
XM_014209558.2	C193R042
XM_014209592.2	C172R133
XM_014209592.2	C009R062
XM_014209608.2	C073R084
XM_014209744.2	C175R039
XM_014209827.2	C230R051
XM_014209833.2	C132R153
XM_014210042.2	C086R100
XM_014210093.2	C035R100
XM_014210107.2	C159R051
XM_014210125.2	C110R009
XM_014210254.2	C070R085
XM_014210292.2	C221R054
XM_014210333.2	C231R139
XM_014210333.2	C214R146
XM_014210412.2	C056R050
XM_014210429.2	C148R145
XM_014210478.2	C219R145
XM_014210562.2	C164R055
XM_014210562.2	C048R097
XM_014210562.2	C032R112
XM_014210590.2	C254R033
XM_014210781.2	C176R039
XM_014210997.2	C104R044
XM_014211026.2	C083R036
XM_014211065.2	C074R168
XM_014211214.2	C113R092
XM_014211271.2	C229R105
XM_014211340.2	C054R014
XM_014211747.2	C092R040
XM_014211846.2	C191R048
XM_014211954.2	C193R045
XM_014212118.2	C097R113
XM_014212118.2	C043R097
XM_014212158.2	C065R028
XM_014212294.2	C248R168
XM_014212329.2	C041R034
XM_014212652.2	C211R005
XM_014212652.2	C010R059
XM_014212652.2	C002R029
XM_014212718.2	C102R058
XM_014212960.2	C144R006
XM_014212999.2	C180R093
XM_014213020.2	C109R098
XM_014213152.2	C029R050
XM_014213259.2	C189R002
XM_014213320.2	C122R170
XM_014213424.2	C201R061
XM_014213424.2	C242R139
XM_014213431.2	C124R028
XM_014213606.2	C021R055
XM_014213709.2	C058R125
XM_014213709.2	C009R115
XM_014213791.2	C202R049
XM_014213842.2	C194R054
XM_014213903.2	C086R148
XM_014213931.2	C256R024
XM_014213931.2	C069R076
XM_014214078.2	C209R096
XM_014214078.2	C198R086
XM_014214224.2	C141R158
XM_014214226.2	C100R019
XM_014214272.2	C021R170
XM_014214326.2	C053R030
XM_014214327.2	C022R045
XM_014214327.2	C110R055
XM_014214327.2	C184R135
XM_014214423.2	C074R108
XM_014214561.2	C101R131
XM_014214670.2	C217R077
XM_014214772.2	C194R101
XM_014214777.2	C151R040
XM_014214797.2	C186R032
XM_014214917.2	C200R099
XM_014215041.2	C219R007
XM_014215157.2	C223R005
XM_014215178.2	C057R122
XM_014215203.2	C246R140
XM_014215261.2	C161R090
XM_014215352.2	C148R086
XM_014215391.2	C136R024
XM_014215616.2	C125R028
XM_014215802.2	C075R112
XM_014215802.2	C057R080
XM_014215927.2	C208R015
XM_014216010.2	C243R108
XM_014216010.2	C011R056
XM_014216072.2	C147R129
XM_014216144.2	C220R168
XM_014216213.2	C262R019
XM_014216225.2	C161R164
XM_014216226.2	C109R167
XM_014216230.2	C025R058
XM_014216230.2	C040R108
XM_014216313.2	C259R147
XM_014216378.2	C094R137
XM_014216452.2	C166R152
XM_014216652.2	C093R144
XM_014216661.2	C232R145
XM_014216828.2	C055R098
XM_014216869.2	C231R111
XR_001319192.2	C162R016
XR_001319246.2	C105R014
XR_001319431.2	C050R047
XR_001320001.2	C038R081
XR_001320387.2	C145R019
XR_001321144.2	C220R053
XR_001321189.2	C152R030
XR_001321707.2	C101R063
XR_001321707.2	C250R042
XR_001321707.2	C102R113
XR_001321819.2	C250R025
XR_001321819.2	C150R005
XR_001321934.2	C218R068
XR_001321939.2	C091R104
XR_001321939.2	C227R072
XR_001321939.2	C011R079
XR_001321939.2	C069R106
XR_001322475.2	C194R109
XR_001322544.2	C096R076
XR_001322620.2	C043R167
XR_001322642.2	C169R001
XR_001322964.2	C058R021
XR_001323903.2	C193R124
XR_001324162.2	C007R052
XR_001324803.2	C165R121
XR_001325252.2	C145R138
XR_001325277.2	C031R147
XR_001325699.2	C114R123
XR_001327004.2	C093R052
XR_001327462.2	C098R152
XR_001328066.2	C092R084
XR_001328098.2	C112R011
XR_001328621.2	C109R112
XR_001328632.2	C084R019
XR_001328707.2	C074R107
XR_001328726.2	C063R006
XR_001328763.2	C160R141
XR_001328905.2	C035R018
XR_001329393.2	C037R148
XR_001329949.2	C111R133
XR_001330527.2	C188R008
